80
803	ODW	62	93	85	95	89	83.25	1
467	LST	89	59	76	85	58	75	2
624	QYV	85	61	60	100	64	73.5	3
093	JHK	54	77	89	87	48	73.5	3
044	TJS	77	91	36	83	59	69.75	5
075	WUE	100	44	94	7	91	68.25	6
935	FOW	52	82	75	86	0	66.5833	7
202	WMK	89	31	89	43	76	65.75	8
957	LNC	30	75	99	79	18	65.6667	9
257	SMV	35	71	100	74	19	65.4167	10
888	YFX	95	87	15	73	43	65	11
774	WRE	23	100	97	11	94	64.6667	12
143	ALS	27	83	48	97	71	61.5833	13
014	SXW	25	94	59	70	63	61.4167	14
830	ZPL	68	7	97	80	56	61	15
438	VGB	98	31	38	92	43	60.6667	16
160	DDZ	91	37	93	13	27	59.6667	17
703	XZG	78	54	46	73	24	58.6667	18
372	NIC	82	62	32	78	18	58.5	19
846	TNF	39	87	25	72	95	57.6667	20
423	BQE	74	51	13	90	85	56.5833	21
679	HIR	71	48	92	1	38	56.0833	22
184	VZS	71	32	81	44	32	56	23
797	CKE	37	24	85	86	53	55.25	24
833	PMP	81	18	72	40	68	55.0833	25
746	RHV	64	42	77	28	53	54.8333	26
054	ENU	89	10	76	55	18	54.4167	27
210	KLF	98	55	9	61	31	53.25	28
410	MYG	65	76	20	61	33	53.1667	29
095	YXW	91	71	2	40	65	53.0833	30
012	HNK	31	3	88	85	99	52.9167	31
563	TVF	76	1	48	91	78	52.9167	31
383	JIU	100	44	10	72	26	52.6667	33
550	UHF	49	72	29	83	12	52.3333	34
354	DAA	49	86	51	24	21	52.25	35
671	IVZ	39	73	83	0	36	51.75	36
557	LLQ	2	84	44	100	18	50.6667	37
544	SEB	71	60	12	81	14	50.4167	38
406	XHV	17	100	36	66	3	49.5	39
361	APQ	40	19	87	71	11	49.25	40
358	LIA	35	35	52	87	51	49.25	40
216	NKE	7	29	94	44	98	48	42
215	CPC	30	55	75	6	68	46.6667	43
367	DGK	34	79	17	57	52	46.3333	44
475	VCB	5	88	17	82	62	46.3333	44
376	EHK	80	41	30	2	85	45.1667	46
164	KQI	63	59	26	16	62	44.8333	47
903	UHT	29	57	24	86	31	44.4167	48
598	HGV	4	7	100	72	55	44.3333	49
494	QQV	51	18	75	35	29	44.25	50
386	IEX	24	35	56	50	82	43.9167	51
490	KWE	11	45	60	84	8	43.6667	52
271	NIG	44	57	43	10	70	43.5	53
579	IYT	78	44	9	62	1	43.1667	54
835	IVZ	44	67	6	69	27	43	55
440	EOT	19	37	48	80	42	42.8333	56
445	QPU	30	78	5	60	48	42.25	57
961	FEN	57	15	59	31	46	41.75	58
333	GND	18	81	37	17	58	41.6667	59
878	LCH	5	46	48	95	4	40.9167	60
876	IHO	30	27	69	14	76	40.1667	61
973	OLI	0	30	94	12	82	39.8333	62
805	CWH	11	13	94	12	99	39.75	63
675	KEV	42	69	27	23	16	39.6667	64
258	MYW	67	46	1	57	9	38.75	65
866	SWA	1	24	86	42	39	38	66
542	KIZ	57	24	20	70	7	37.5	67
149	WVU	36	66	11	23	64	37.4167	68
353	AVT	31	27	24	53	96	37.3333	69
652	REY	92	3	32	22	21	37.1667	70
346	NTC	61	24	5	43	89	37.0833	71
251	JZD	14	43	47	36	57	36.75	72
161	YGM	48	31	33	40	15	35.9167	73
484	YUI	44	6	43	58	30	35.4167	74
468	SVK	16	79	10	1	86	33.5833	75
899	UAH	57	6	20	61	18	32.4167	76
077	UQG	1	50	72	2	3	31.3333	77
050	HVH	24	34	37	15	3	26.5	78
837	YUY	5	15	8	41	63	19.0833	79
079	BWK	20	0	20	20	14	14.5	80
